id_src,block_timestamp_src,event_index_src,extrinsic_index_src,phase_src,module_id_src,event_id_src,extrinsic_hash_src,finalized_src,dest_para_id,block_num_extracted,corr_id,id_dst,block_timestamp_dst,event_index_dst,extrinsic_index_dst,phase_dst,module_id_dst,event_id_dst,extrinsic_hash_dst,finalized_dst,dest_chain,source_chain,latency_s,cost,status
2199872500077,1723106964,21998725-77,21998725-5,0,xcmpallet,Sent,0xbe49507e7dc92faa877c4e884d277adb929f8837a71f61ea6264b9e53bc3348d,True,1000.0,21998725,0xdb45c19633d4c27c557ac84eb8fe2586f1d01601ee0b2b22d06335cff994b489,686069900006,1723106976,6860699-6,,2,messagequeue,Processed,0xa30dc95dd43e331d31d399223b5312b0d2d76c9d990804e930d2d1cbe275c5de,True,assethub,polkadot,12,181667896,Success
2199850000050,1723105608,21998500-50,21998500-2,0,xcmpallet,Sent,0x531fdb385283892817c47edbf91d3716e519074682bfe4c8549e934ce0d9178f,True,1000.0,21998500,0x4fea5057e9ad8c771e6c5962aeaaf82713072f7f41aeb7e9ee8d8e5062d3025c,686058800004,1723105620,6860588-4,,2,messagequeue,Processed,0xb723c1e0b470aa853049117e8c3cad28ac31e19826b533b43c3b79619fd829b0,True,assethub,polkadot,12,180667896,Success
2199657200065,1723094010,21996572-65,21996572-3,0,xcmpallet,Sent,0x70f3a5fc38edcfdc101d23c500d332468aeb6a5dfd945f59110cc0b2f347702c,True,1000.0,21996572,0x26b99e84602ce13102ce80770cb2dd4508b314bcd0ada3a2de1ccebe734e7655,685963300005,1723094028,6859633-5,,2,messagequeue,Processed,0xa318ca9f518ab41fe4c2a440e7ae7ee1e156d69e6231509dc673f38bd7e048f0,True,assethub,polkadot,18,181667896,Success
2199607800063,1723091046,21996078-63,21996078-3,0,xcmpallet,Sent,0xd543336bc7703b954af22b3ae3b04d7c23e0ed8bb7fd03d6736df13965700aa0,True,1000.0,21996078,0x5f3b0534b8cecb9c6d49a53032604dc77f7efd8edff5ce1fa0a6bdb7f7aad068,685938600004,1723091058,6859386-4,,2,messagequeue,Processed,0x7eea6c968630483db1630fc4091bd1ee0dd0cb121cc786beb38cae3cca85df83,True,assethub,polkadot,12,181667896,Success
2199514500054,1723085436,21995145-54,21995145-2,0,xcmpallet,Sent,0xb953997bf279de6910a069dfdf440c9aceafdbdb52b62e7563e62b9273bb1a7d,True,1000.0,21995145,0xa9bceacf34d001c6c518d39ac0cd12d516f4e4f1bf17e0339d66af7df7e128a7,685892800004,1723085448,6858928-4,,2,messagequeue,Processed,0x4d0dd14236ed6196b8072a1e5adc612388573b4fdd64adbd5a006a69d1d63070,True,assethub,polkadot,12,181667896,Success
2199440100062,1723080966,21994401-62,21994401-3,0,xcmpallet,Sent,0xe4c3587f0b53a588fd4a74f34d63643e7107032674654799decde7fb2089e2a8,True,1000.0,21994401,0xc0b9aa7a883d5ddca5106ba9fcbedfb3de55d7a678331a18dfb29a6e9057ae8a,685855900003,1723080984,6858559-3,,2,messagequeue,Processed,0x128b9b9927addc4775643baccfaf691b92104a1cc3e7d9434443e2fde1b10e47,True,assethub,polkadot,18,181667896,Success
2199414800054,1723079448,21994148-54,21994148-2,0,xcmpallet,Sent,0x967e2ed2cfc5549c93c5f5eecb7490c073c6b863e82023f6b3edee4544b85502,True,1000.0,21994148,0x7832166cf95e179534d6e7cd12bc6cc0391f4b04ee5be0cb38efa856b46a89e3,685843200004,1723079460,6858432-4,,2,messagequeue,Processed,0x79959bca59e736b6aa979336db1c62af3e360215e0cb88159b51e1d9f29d04aa,True,assethub,polkadot,12,181667896,Success
2199409700058,1723079142,21994097-58,21994097-2,0,xcmpallet,Sent,0x7033e41e0fb714c99fea44b4af1a60e39f6419807c9775890bfd4c2c3674fbd3,True,1000.0,21994097,0x9346877c80445379fa7931b9cebe426305385f8613c7569b9911ef072c2bbca9,685840800006,1723079160,6858408-6,,2,messagequeue,Processed,0x166dff234085db38543d03333449a3bb140dce2e5247cd68660df8a42392f7f0,True,assethub,polkadot,18,180667896,Success
2199367600055,1723076616,21993676-55,21993676-2,0,xcmpallet,Sent,0xd31eae111acfd90dff276108c7d2a32131375479cea025ab0bfa44bacdf14fc5,True,1000.0,21993676,0x94b0741db6b40a372375063ceb9f599894c689a47ff532d7730ea11efc0b5496,685819900004,1723076628,6858199-4,,2,messagequeue,Processed,0x839b39db59538fadd8e46d1d95947536a010fa7ef837a1722bbe98a72818cf17,True,assethub,polkadot,12,181667896,Success
2199292200066,1723072080,21992922-66,21992922-3,0,xcmpallet,Sent,0x6d5c98d5ae75c9e9c883592eb0d72bc19546daa9292df1a5aea204a3a023d8e0,True,1000.0,21992922,0x9008305154fd19ae74ae4c6f0ad43d962e9b17d2118b12903e1560de1c2c09cf,685782400004,1723072098,6857824-4,,2,messagequeue,Processed,0x6fb06c18fd6f58a651f9b87afa4c586e8b6d74870016b5f9d3c1516d62ad6f5c,True,assethub,polkadot,18,181667896,Success
